日時,業種,終値,1D,1W,1M,3M
2026-09-15 22:14,食品,47420.0,-0.25,-0.79,-3.81,3.54
2026-09-15 22:14,エネルギー資源,36910.0,-1.44,1.99,7.8,13.85
2026-09-15 22:14,建設・資材,43910.0,-0.32,-1.55,-5.97,-7.89
2026-09-15 22:14,素材・化学,35490.0,-0.36,-1.61,-7.07,-6.33
2026-09-15 22:14,医薬品,30070.0,1.09,0.28,1.21,5.25
2026-09-15 22:14,自動車・輸送機,34000.0,-0.76,1.1,-2.91,5.59
2026-09-15 22:14,鉄鋼・非鉄,60850.0,-0.94,-3.49,-13.28,-5.11
2026-09-15 22:14,機械,80350.0,0.01,-1.62,-10.84,-5.27
2026-09-15 22:14,電機・精密,61120.0,0.07,-1.42,-11.28,-5.33
2026-09-15 22:14,情報通信・サービス他,49510.0,1.66,0.61,2.8,15.19
2026-09-15 22:14,電力・ガス,12800.0,-0.89,0.87,11.21,11.64
2026-09-15 22:14,運輸・物流,22100.0,-1.1,-0.09,2.79,7.23
2026-09-15 22:14,商社・卸売,276.5,-2.23,-0.65,4.66,9.2
2026-09-15 22:14,小売,36450.0,-0.46,-3.21,-4.53,-2.62
2026-09-15 22:14,銀行,41760.0,-1.28,0.31,0.72,11.6
2026-09-15 22:14,金融(除く銀行),43610.0,-1.29,1.66,3.51,6.89
2026-09-15 22:14,不動産,47890.0,-1.44,-2.46,-1.44,-6.96
2026-09-15 13:28,食品,47420.0,-0.25,-0.79,-3.81,4.01
2026-09-15 13:28,エネルギー資源,36910.0,-1.44,1.99,7.8,13.88
2026-09-15 13:28,建設・資材,43910.0,-0.32,-1.55,-5.97,-12.7
2026-09-15 13:28,素材・化学,35490.0,-0.36,-1.61,-7.07,-9.97
2026-09-15 13:28,医薬品,30070.0,1.09,0.28,1.21,4.5
2026-09-15 13:28,自動車・輸送機,34000.0,-0.76,1.1,-2.91,3.0
2026-09-15 13:28,鉄鋼・非鉄,60850.0,-0.94,-3.49,-13.28,-13.69
2026-09-15 13:28,機械,80350.0,0.01,-1.62,-10.84,-12.32
2026-09-15 13:28,電機・精密,61120.0,0.07,-1.42,-11.28,-11.91
2026-09-15 13:28,情報通信・サービス他,49510.0,1.66,0.61,2.8,14.32
2026-09-15 13:28,電力・ガス,12800.0,-0.89,0.87,11.21,12.33
2026-09-15 13:28,運輸・物流,22100.0,-1.1,-0.09,2.79,8.63
2026-09-15 13:28,商社・卸売,276.5,-2.23,-0.65,4.66,9.16
2026-09-15 13:28,小売,36450.0,-0.46,-3.21,-4.53,-2.98
2026-09-15 13:28,銀行,41760.0,-1.28,0.31,0.72,9.43
2026-09-15 13:28,金融(除く銀行),43610.0,-1.29,1.66,3.51,5.77
2026-09-15 13:28,不動産,47890.0,-1.44,-2.46,-1.44,-5.64
2026-09-15 13:50,食品,47420.0,-0.25,-0.79,-3.81,4.01
2026-09-15 13:50,エネルギー資源,36910.0,-1.44,1.99,7.8,13.88
2026-09-15 13:50,建設・資材,43910.0,-0.32,-1.55,-5.97,-12.7
2026-09-15 13:50,素材・化学,35490.0,-0.36,-1.61,-7.07,-9.97
2026-09-15 13:50,医薬品,30070.0,1.09,0.28,1.21,4.5
2026-09-15 13:50,自動車・輸送機,34000.0,-0.76,1.1,-2.91,3.0
2026-09-15 13:50,鉄鋼・非鉄,60850.0,-0.94,-3.49,-13.28,-13.69
2026-09-15 13:50,機械,80350.0,0.01,-1.62,-10.84,-12.32
2026-09-15 13:50,電機・精密,61120.0,0.07,-1.42,-11.28,-11.91
2026-09-15 13:50,情報通信・サービス他,49510.0,1.66,0.61,2.8,14.32
2026-09-15 13:50,電力・ガス,12800.0,-0.89,0.87,11.21,12.33
2026-09-15 13:50,運輸・物流,22100.0,-1.1,-0.09,2.79,8.63
2026-09-15 13:50,商社・卸売,276.5,-2.23,-0.65,4.66,9.16
2026-09-15 13:50,小売,36450.0,-0.46,-3.21,-4.53,-2.98
2026-09-15 13:50,銀行,41760.0,-1.28,0.31,0.72,9.43
2026-09-15 13:50,金融(除く銀行),43610.0,-1.29,1.66,3.51,5.77
2026-09-15 13:50,不動産,47890.0,-1.44,-2.46,-1.44,-5.64
